epoch,accuracy,loss,,,,,,
0,0.494790852,11935.75879,,,,5,0.510185063,19494.19531
1,0.505714536,31224.95898,,,,10,0.534403682,15569.68848
2,0.516715884,12410.43164,,,,15,0.516132772,24827.00586
3,0.51104027,22125.6543,,,,20,0.528144896,9338.066406
4,0.510185063,19494.19531,,,,25,0.554346144,10331.86328
5,0.520331204,13236.73438,,,,30,0.580469608,2149.577881
6,0.528494775,16426.37109,,,,35,0.587311447,2759.966309
7,0.507658243,8538.308594,,,,40,0.535569906,4896.61377
8,0.517260134,8522.386719,,,,45,0.583462894,4399.764648
9,0.534403682,15569.68848,,,,50,0.569118321,3733.461914
10,0.527872801,22705.30273,,,,55,0.608497918,965.7788086
11,0.542955995,2735.320068,,,,60,0.604493856,649.4841309
12,0.549720109,19206.71484,,,,65,0.57561034,1411.579224
13,0.542061865,4075.422852,,,,70,0.532148957,177.4131012
14,0.516132772,24827.00586,,,,75,0.532148957,0.689916909
15,0.553529799,4889.515625,,,,80,0.542372882,0.695274055
16,0.539224088,5360.972168,,,,85,0.532148957,0.691113532
17,0.525384843,23275.29492,,,,90,0.532148957,0.691110134
18,0.50831908,5470.589355,,,,95,0.532148957,0.691112697
19,0.528144896,9338.066406,,,,100,0.532148957,0.691102266
20,0.540273666,11660.91504,,,,,,
21,0.519437075,15228.39648,,,,,,
22,0.558855534,9631.362305,,,,,,
23,0.559088767,13085.32031,,,,,,
24,0.554346144,10331.86328,,,,,,
25,0.529388905,5646.773438,,,,,,
26,0.578720272,11297.24902,,,,,,
27,0.571100891,10743.53516,,,,,,
28,0.595708311,6083.51416,,,,,,
29,0.580469608,2149.577881,,,,,,
30,0.512983978,4974.94873,,,,,,
31,0.555978835,12205.00488,,,,,,
32,0.604610503,8387.889648,,,,,,
33,0.568340838,3047.69458,,,,,,
34,0.587311447,2759.966309,,,,,,
35,0.561032474,3149.869141,,,,,,
36,0.576893151,7518.879395,,,,,,
37,0.568729579,5031.87793,,,,,,
38,0.619538188,1756.126587,,,,,,
39,0.535569906,4896.61377,,,,,,
40,0.55154717,3678.723633,,,,,,
41,0.575921297,4101.103027,,,,,,
42,0.60293889,3453.04248,,,,,,
43,0.587661326,3306.180664,,,,,,
44,0.583462894,4399.764648,,,,,,
45,0.613745928,748.6075439,,,,,,
46,0.591315508,1600.159546,,,,,,
47,0.581013858,3671.375732,,,,,,
48,0.579109013,2802.269043,,,,,,
49,0.569118321,3733.461914,,,,,,
50,0.581791341,3125.074707,,,,,,
51,0.580586195,1265.401611,,,,,,
52,0.521691799,2290.568115,,,,,,
53,0.606670797,539.095459,,,,,,
54,0.608497918,965.7788086,,,,,,
55,0.553685248,2913.539307,,,,,,
56,0.613123953,590.6318359,,,,,,
57,0.622570336,1305.722168,,,,,,
58,0.542955995,3834.405273,,,,,,
59,0.604493856,649.4841309,,,,,,
60,0.590499163,1099.038208,,,,,,
61,0.584395885,1489.729126,,,,,,
62,0.637498081,252.1721191,,,,,,
63,0.611374617,1941.719604,,,,,,
64,0.57561034,1411.579224,,,,,,
65,0.581713557,1158.90918,,,,,,
66,0.621443033,692.0089111,,,,,,
67,0.59496969,458.2803345,,,,,,
68,0.601034045,693.2322388,,,,,,
69,0.532148957,177.4131012,,,,,,
70,0.532148957,0.690630972,,,,,,
71,0.532148957,0.690134764,,,,,,
72,0.532148957,0.690044761,,,,,,
73,0.532148957,0.689996123,,,,,,
74,0.532148957,0.689916909,,,,,,
75,0.532148957,0.689748526,,,,,,
76,0.532148957,0.688875258,,,,,,
77,0.532148957,0.682091951,,,,,,
78,0.532148957,0.67382282,,,,,,
79,0.542372882,0.695274055,,,,,,
80,0.532148957,0.691166937,,,,,,
81,0.532148957,0.691121757,,,,,,
82,0.532148957,0.691111803,,,,,,
83,0.532148957,0.691115916,,,,,,
84,0.532148957,0.691113532,,,,,,
85,0.532148957,0.691114604,,,,,,
86,0.532148957,0.691101909,,,,,,
87,0.532148957,0.691115618,,,,,,
88,0.532148957,0.691121519,,,,,,
89,0.532148957,0.691110134,,,,,,
90,0.532148957,0.691103399,,,,,,
91,0.532148957,0.691112399,,,,,,
92,0.532148957,0.691097081,,,,,,
93,0.532148957,0.691118121,,,,,,
94,0.532148957,0.691112697,,,,,,
95,0.532148957,0.691111863,,,,,,
96,0.532148957,0.691116691,,,,,,
97,0.532148957,0.691122949,,,,,,
98,0.532148957,0.69110024,,,,,,
99,0.532148957,0.691102266,,,,,,
